latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
41.118,-106.183,372.4,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,302.7,216.1,N
41.116,-106.166,403.3,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,309.3,474.3,N
41.114,-106.149,490.9,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,333.1,2428.6,N
41.113,-106.132,431.9,1.4,1.2,2020-09-26,0845,A,100,6.0NRT,306.5,868.9,N
41.116,-106.271,320.6,1.5,1.2,2020-09-26,0845,A,75,6.0NRT,286.8,22.8,N
41.114,-106.255,328.9,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,289.7,38.2,N
41.112,-106.237,355.6,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,294.3,124.8,N
41.111,-106.219,437.6,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,316.2,981,N
41.109,-106.202,450.4,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,324,1248.8,N
41.107,-106.184,393.8,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,309.9,380.5,N
41.106,-106.167,379.4,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,303.1,262.5,N
41.104,-106.15,352.3,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,289.3,117.8,N
41.102,-106.133,305.8,1.4,1.2,2020-09-26,0845,A,34,6.0NRT,281.4,13.4,N
41.107,-106.29,367.1,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,294.3,182.3,N
41.105,-106.273,428.2,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,307.9,818.6,N
41.103,-106.256,401,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,303.9,450.7,N
41.102,-106.239,379.5,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,303.9,262.9,N
41.1,-106.221,397.4,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,310,416.1,N
41.098,-106.203,381.7,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,298.2,281.9,N
41.097,-106.186,312.8,1.5,1.2,2020-09-26,0845,A,86,6.0NRT,281.7,22.7,N
41.106,-106.399,309.7,1.5,1.2,2020-09-26,0845,A,67,6.0NRT,282.6,21,N
41.104,-106.381,364.5,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,291,180.6,N
41.103,-106.364,384.3,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,298.7,309.2,N
41.101,-106.346,337.8,1.5,1.2,2020-09-26,0845,A,99,6.0NRT,289.6,69.5,N
41.098,-106.31,357.1,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,294.9,136.1,N
41.096,-106.292,397.4,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,302.7,417.9,N
41.094,-106.275,355.1,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,289.1,128.2,N
41.114,-106.404,304.1,1.5,1.2,2020-09-26,0845,A,17,6.0NRT,280.8,14,N
41.112,-106.386,313.6,1.5,1.2,2020-09-26,0845,A,52,6.0NRT,283.1,23.9,N
41.103,-106.296,366.4,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,296.6,182.6,N
41.101,-106.279,408.3,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,308,537.6,N
41.099,-106.263,394.2,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,303.5,389.6,N
41.097,-106.245,354,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,294.3,127.6,N
41.096,-106.227,342.3,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,293.3,85.7,N
41.094,-106.21,314.4,1.5,1.2,2020-09-26,0845,A,89,6.0NRT,285.4,25.6,N
41.101,-106.387,338.7,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,284.4,76.5,N
41.099,-106.369,388.4,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,298.4,344.3,N
41.097,-106.353,387.3,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,300.2,331,N
41.096,-106.335,345.6,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,288.5,94.1,N
41.094,-106.317,341.1,1.5,1.2,2020-09-26,0845,A,97,6.0NRT,288.7,80,N
41.092,-106.299,365.2,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,294.9,180.1,N
41.09,-106.282,327.1,1.5,1.2,2020-09-26,0845,A,68,6.0NRT,285.5,46.3,N
41.085,-106.336,340.3,1.5,1.2,2020-09-26,0845,A,100,6.0NRT,283.6,81.6,N
40.736,-105.604,314.6,1.3,1.1,2020-09-26,0845,A,51,6.0NRT,272.6,22.6,N
40.726,-105.606,314.8,1.3,1.1,2020-09-26,0845,A,63,6.0NRT,271.8,22.8,N
40.722,-105.669,315.8,1.4,1.2,2020-09-26,0845,A,62,6.0NRT,278.2,22,N
40.708,-105.74,303.3,1.4,1.2,2020-09-26,0845,A,36,6.0NRT,281.4,12.4,N
40.707,-105.724,314.9,1.4,1.2,2020-09-26,0845,A,90,6.0NRT,285,24.4,N
40.618,-106.767,305.4,1.5,1.2,2020-09-26,0845,A,64,6.0NRT,280.3,19.2,N
40.616,-106.749,306.8,1.5,1.2,2020-09-26,0845,A,69,6.0NRT,280.9,20.9,N
40.614,-106.73,311.3,1.5,1.2,2020-09-26,0845,A,82,6.0NRT,281.6,26.4,N
40.375,-123.268,303.6,1.1,1,2020-09-26,1025,A,30,6.0NRT,283.7,8.4,N
40.34,-123.291,316.8,1.1,1,2020-09-26,1025,A,92,6.0NRT,287.1,18.9,N
40.314,-123.14,308.7,1.1,1.1,2020-09-26,1025,A,59,6.0NRT,283.6,12.1,N
40.093,-123.108,300.6,1.1,1.1,2020-09-26,1025,A,30,6.0NRT,281.9,8.1,N
40.059,-122.913,309.9,1.1,1.1,2020-09-26,1025,A,59,6.0NRT,283.5,13.6,N
40.057,-122.901,336.5,1.1,1.1,2020-09-26,1025,A,100,6.0NRT,284.6,48.5,N
40.055,-122.887,343.2,1.2,1.1,2020-09-26,1025,A,100,6.0NRT,285.4,61.8,N
40.053,-122.907,316.3,1.1,1.1,2020-09-26,1025,A,93,6.0NRT,284.1,20.4,N
40.051,-122.895,344,1.2,1.1,2020-09-26,1025,A,100,6.0NRT,287.5,64.4,N
40.049,-122.881,316.5,1.2,1.1,2020-09-26,1025,A,93,6.0NRT,283.7,20.6,N
40.042,-122.898,300.2,1.2,1.1,2020-09-26,1025,A,21,6.0NRT,281.1,7.5,N
40.059,-123.11,307.9,1.1,1.1,2020-09-26,1025,A,69,6.0NRT,283.4,12,N
